# ----------------------------------------
# Report CSV Export
# Account: NSTEM
# Property: NSTEM Website - GA4
# ----------------------------------------
# 
# All Users
# Start date: 20231216
# End date: 20240114
Landing page,Sessions,Users,New users,Average engagement time per session,Conversions,Total revenue
/high-school-national-stem-honor-society/student-membership-benefits,1,0,0,0,0,0
/leader/aisha-makama,1,1,1,5,0,0
/leader/cammie-rodriguez,1,1,1,68,0,0
/leader/craig-hirsty,1,1,1,4,0,0
/leader/dashel-myers,1,1,1,17,0,0
/leader/dr-jose-morey,1,1,1,28,0,0
/leader/haram-jamil,1,1,0,58,0,0
/leader/jerilyn-green,1,1,1,203,0,0
/leader/jordin-lambert,1,1,1,443,0,0
/leader/madison-guy,1,1,1,26,0,0
/leader/nidhi-sakpal,1,1,1,10,0,0
/leader/patricia-kitchens,1,1,1,45,0,0
/organization-national-stem-honor-society,1,1,1,0,0,0
/payment-instructions,1,1,1,20,0,0
/persona/k-2/page/2,1,1,1,3,0,0
/privacy-policy,1,1,1,0,0,0
/promotional-flyers,1,1,0,30,0,0
/resource-library/  ​,1,1,1,21,0,0
/scholarship-grant/battelle-stem-grant-program,1,1,1,213,0,0
/scholarship-grant/georgia-educational-technology-consortium-innovation-grants,1,1,1,5,0,0
/scholarship-grant/ndia-michigan-stem-scholarship-program,1,1,1,16,0,0
/scholarship-grant/nebraska-academy-of-sciences-scholarships-grants,1,1,1,14,0,0
/scholarship-grant/nebraska-department-of-education-grants,1,1,1,13,0,0
/scholarship-grant/ri-garden-clubs-scholarship,1,1,1,18,0,0
/scholarship-grant/utah-energy-workforce-scholarship,1,1,1,14,0,0
/shop/apparel-accessories/silicone-wristband,1,1,1,34,0,0
/shop/apparel-accessories/stylus-pen,1,1,1,6,0,0
/shop/apparel-decals/hoodie,1,1,1,121,0,0
/shop/chapter-merchandise/card,1,1,1,7,0,0
/shop/chapter-merchandise/custom-graduation-certificates,1,1,1,32,0,0
/shop/chapter-merchandise/graduation-certificates,1,1,1,0,0,0
/shop/chapter-merchandise/stand-up-banner,1,1,0,780,0,0
/stage/about-is,1,1,0,258,0,0
/stage/archives/28720,1,1,1,77,0,0
/stage/archives/30014,1,1,1,62,0,0
/stage/archives/30217,1,1,1,18,0,0
/stage/archives/30241,1,1,1,37,0,0
/stage/archives/30548,1,1,1,45,0,0
/stage/archives/32206,1,1,1,29,0,0
/stage/archives/33728,1,1,1,43,0,0
/stage/archives/35669,1,1,1,9,0,0
/stage/archives/40735,1,1,1,44,0,0
/stage/archives/intern/alexandra-sugatan,1,1,1,96,0,0
/stage/archives/intern/emily-hyser,1,1,1,32,0,0
/stage/elementary-school-3-5,1,1,1,13,0,0
/stage/epsilon-theta-mu,1,1,1,0,0,0
/stage/high-school,1,1,1,0,0,0
/stage/internships/internship-details,1,1,1,31,0,0
/stage/main-site-meet-our-leadership-team,1,1,0,877,0,0
/stage/main-site-new-about-us-page,1,1,0,2188,0,0
/stage/membership-account/membership-checkout,1,1,0,2,0,0
/stage/nstem-awards,1,1,1,27,0,0
/stage/shop/chapter-merchandise/card,1,1,1,11,0,0
/stage/shop/chapter-merchandise/cords,1,1,1,42,0,0
/suggested-chapter-officer-roles,1,1,0,19,0,0
/testing/chapter-registration-test-form,1,1,0,422,0,0
/testing/short-code-test,1,1,0,122,0,0
/wp-content/themes/stem/images/tiktok30.png&quot,1,1,1,0,0,0
